schema_name,table_name,description
public,fermiltrns,Fermi LAT Long-Term Transient Source Catalog
public,fermilweek,Fermi LAT Weekly Data
public,flarestars,UV Cet-type Flare Stars & Related Objects Catalog
public,fornaxacxo,Fornax A (NGC 1316) Chandra X-Ray Source Catalog
public,fornaxxmm,Fornax Dwarf Galaxy XMM-Newton X-Ray Point Source Catalog
public,fpcsfits,Einstein FPCS Events Files
public,fricat,FIRST Catalog of FR I Radio Galaxies
public,friicat,FIRST Catalog of FR II Radio Galaxies
public,fsvsclustr,Faint Sky Variability Survey Catalog of Galaxy Clusters and Rich
public,fuselog,Far Ultraviolet Explorer (FUSE) Observation Log
public,galccxonid,Galactic Center Chandra X-Ray Source Near-IR Counterparts
public,galcencxo,Galactic Center Chandra X-Ray Point Source Catalog
public,galcenpspc,ROSAT PSPC Galactic Center Soft X-Ray Source Catalog
public,galexlog,Galaxy Evolution Explorer (GALEX) Observation Log
public,galextdsc,GALEX Time Domain Survey Catalog
public,galobstars,Catalog of Galactic OB Stars
public,gb6,Green Bank 6-cm (GB6) Radio Source Catalog
public,gbt31ghz,Green Bank Telescope 100-m 31-GHZ Radio Source Catalog
public,gc47tuccx2,47 Tuc Globular Cluster Chandra X-Ray Point Source Catalog (2017
public,gc47tuccxo,47 Tuc Globular Cluster Chandra X-Ray Point Source Catalog (2005
public,gcps,Galactic Center P-Band (330 MHz) Survey
public,gcptsrccxo,Chandra Point Sources in 18 Distant Galaxy Clusters
public,gcscat,Globular Cluster Systems of Galaxies Catalog
public,gcvs,General Catalog of Variable Stars (2025-12 Version)
public,gcvsegvars,General Catalog of Variable Stars (GCVS4.2): Extragalactic Varia
public,gcvsnsvars,General Catalog of Variable Stars: Suspected Variable Stars (202
public,gingaasmlc,Ginga ASM Source Lightcurves
public,gingabgd,Ginga Background Lightcurves & Spectra
public,gingalac,Ginga Source Lightcurves & Spectra
public,gingalog,Ginga LAC Log
public,gingamode,Ginga LAC Mode Catalog
public,gingaraw,Ginga LAC Raw Data
public,gleamegcat,GaLactic and Extragalactic All-sky MWA Survey (GLEAM) Extragalac
public,gliese2mas,Gliese Catalog Stars with Accurate Coordinates and 2MASS Cross-I
public,globclust,Milky Way Globular Clusters Catalog (December 2010 Version)
public,glxsdssqs2,GALEX/SDSS z=0.5-1.5 QSO Candidates Catalog
public,glxsdssqso,GALEX/SDSS Quasar Catalog
public,gmrt1hxcsf,Giant Metrewave Radio Telescope 1h XMM/Chandra Survey Fld 610-MH
public,gmrt4f150m,Giant Metrewave Radio Telescope Field I 150-MHz Radio Source Cat
public,gmrtas150m,Giant Metrewave Radio Telescope All-Sky 150-MHz Radio Source Cat
public,gmrtelain1,Giant Metrewave Radio Telescope ELAIS-N1 Field 610-MHz Radio Sou
public,gmrtelain2,Giant Metrewave Radio Telescope ELAIS-N2 Field 610-MHz Radio Sou
public,gmrtha325m,Giant Metrewave Radio Telescope Herschel-ATLAS/GAMA Flds 325-MHz
public,gmrtj0916,Giant Metrewave Radio Telescope J0916+6348 Field Radio Source Ca
public,gmrtk2f1lf,Giant Metrewave Radio Telescope 150-MHz Survey of Kepler K2 Fiel
public,gmrtlbdsly,Giant Metrewave Radio Telescope LBDS-Lynx Region 150-MHz Radio S
public,gmrtlhcat,Giant Metrewave Radio Telescope Lockman Hole 610-MHz Radio Sourc
public,gmrtlhcat2,Giant Metrewave Radio Telescope Lockman Hole 610-MHz Radio Sourc
public,gmrtlhcat3,Giant Metrewave Radio Telescope Lockman Hole 610-MHz Radio Sourc
public,gmrtspxfls,Giant Metrewave Radio Telescope Spitzer xFLS Field 610-MHz Radio
public,gmrtvvdsvl,Giant Metrewave Radio Telescope VVDS-VLA Deep Field 610-MHz Radi
public,gmrtxl240m,Giant Metrewave Radio Telescope XMM Large Scale Structure 240-MH
public,gmrtxl610m,Giant Metrewave Radio Telescope XMM Large Scale Structure 610-MH
public,goscat,Galactic O Stars with Accurate Spectral Classes Catalog
public,gp7c151mhz,7C(G) 151-MHz Northern Galactic Plane Survey Catalog
public,gpa,First Galactic Plane Survey at 8.35 and 14.35 GHz
public,grbcat,Catalog of Gamma-Ray Bursts
public,grbcatag,Catalog of Gamma-Ray Bursts: Afterglows
public,grbcatann,Catalog of Gamma-Ray Bursts: Annulus Regions
public,grbcatbox,Catalog of Gamma-Ray Bursts: Box Regions
public,grbcatcirc,Catalog of Gamma-Ray Bursts: Circle Regions
public,grbcatdual,Catalog of Gamma-Ray Bursts: Dual Regions
public,grbcatflux,Catalog of Gamma-Ray Bursts: Fluxes and Fluences
public,grbcatint,Catalog of Gamma-Ray Bursts: Intersect Regions
public,grbcatinta,Catalog of Gamma-Ray Bursts: Annulus Intersect Regions
public,grbcatirr,Catalog of Gamma-Ray Bursts: Irregular Regions
public,gs,EXOSAT GSPC Spectra and Lightcurves
public,gusbad,GRBs Uniformly Selected from BATSE Archival Data (Version 2.1)
public,gwsstrpcxo,Groth-Westphal Strip Chandra X-Ray Point Source Catalog
public,halomaster,HaloSat Master Catalog
public,halotimelg,HaloSat Time Log
public,hbc,Herbig & Bell Catalog of Orion Pop. Emission-Line Stars
public,hcg,Hickson Compact Groups of Galaxies (HCG) Catalog
public,hcggalaxy,Hickson Compact Groups of Galaxies (HCG) Individual Galaxies Dat
public,hcgxrbs,X-Ray Observations of Compact Group Galaxies
public,hdec,Henry Draper Extension Charts Catalog
public,heabib,High Energy Astrophysics Comprehensive Bibliography Catalog
public,hers82cat,Herschel Stripe 82 Survey (HerS) Point Source Catalog
public,herschllog,Herschel Space Observatory Log of Observations
public,hesscat,HESS (High Energy Stereoscopic System) Source Catalog
public,hete2gcn,HETE-2 GCN Triggers Catalog
public,hete2grb,HETE-2 Gamma-Ray Bursts
public,hete2tl,HETE-2 Timeline
public,hic,Hipparcos Input Catalog
public,hiiregion,Sharpless H II Regions
public,hipnewcat,Hipparcos New Astrometric Catalog
public,hipparcos,Hipparcos Main Catalog
public,hitomaster,Hitomi Master Catalog
public,hmxbcat,Catalog of High-Mass X-Ray Binaries in the Galaxy (4th Ed.)
public,hmxbcat2,Catalog of High-Mass X-Ray Binaries in the Galaxy (Dynamic Versi
public,hperseicxo,H Persei Chandra X-Ray Point Source Catalog
public,hrasscat,Hamburg/RASS Catalog: X-Ray Sources
public,hrassoptid,Hamburg/RASS Catalog: Optical Identifications
public,hricfa,Einstein Catalog HRI CFA Sources
public,hrideep,Einstein Catalog HRI Deep Survey
public,hriexo,Einstein Catalog HRI ESTEC Sources
public,hriimage,Einstein HRI Images
public,hriphot,Einstein HRI Photon Event Data
public,hstpaec,HST Planned and Archived Observations
public,hubbleudf,Hubble Ultra Deep Field Catalog
public,hyadesxray,ROSAT All-Sky Survey: Hyades Cluster Region
public,ibiscat,Fifth IBIS/ISGRI Soft Gamma-Ray Survey Catalog
public,ic10cxo,IC 10 Chandra X-ray Point Source Catalog
public,ic10xmmcxo,IC 10 XMM-Newton and Chandra X-Ray Point Source Catalog
public,ic1396acxo,IC 1396A & Trumpler 37 Cluster Chandra X-Ray Point Source Catalo
public,ic1396ncxo,IC 1396N Chandra X-Ray Point Source Catalog
public,ic1805xmm,IC 1805 XMM-Newton X-Ray Source Catalog
public,ic2944xmm,IC 2944/2948 XMM-Newton X-Ray Source Catalog
public,ic348cxo,IC 348 Chandra X-Ray Point Source Catalog
public,ic348cxo2,IC 348 Chandra X-Ray Point Source Catalog 2
public,icecubepsc,IceCube All-Sky Point-Source Neutrino Events Catalog (2008-2018)
public,infrared,"Catalog of Infrared Observations (CIO), Edition 5"
public,intagncat,Second INTEGRAL AGN Catalog
public,intbsc,INTEGRAL Bright Source Catalog
public,integralao,INTEGRAL Observing Program
public,intgccat,INTEGRAL IBIS Hard X-Ray Survey of Galactic Center
public,intibisag2,INTEGRAL IBIS AGN Catalog Update
public,intibisagn,INTEGRAL IBIS AGN Catalog
public,intibisass,INTEGRAL IBIS All-Sky Survey of Hard X-Ray Sources
public,intibisgal,INTEGRAL IBIS 9-Year Galactic Hard X-Ray Survey Catalog
public,intibisvhd,INTEGRAL IBIS Hard X-Ray Survey Above 100 keV Source Catalog
public,intomcvs,INTEGRAL OMC First Catalog of Optically Variable Sources
